[2026-06-08 15:07:03,148] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:07:09,040] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:07:09,042] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:07:14,855] [CControlCore] STATUS | source=MPSTT | status=STT_NO_INPUT
[2026-06-08 15:07:14,856] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:07:16,638] [CControlCore] Process error: MP ERROR: process is not alive
[2026-06-08 15:07:16,638] [CControlCore] Process error: MP ERROR: process is not alive
[2026-06-08 15:07:16,639] [CControlCore] STATUS | source=MPTTS | status=TTS_STOPPED
[2026-06-08 15:07:16,641] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_STOPPED
[2026-06-08 15:07:16,643] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_STOPPED
[2026-06-08 15:07:16,839] [CMultiProcessBase] Process released: MPCamera
[2026-06-08 15:07:16,947] [CMultiProcessBase] Process released: MPSTT
[2026-06-08 15:07:16,949] MPTextToSpeech process routine terminated.
[2026-06-08 15:07:16,949] [CControlCore] STATUS | source=MPTTS | status=TTS_PROCESS_TERMINATED
[2026-06-08 15:07:17,048] [CMultiProcessBase] Process released: MPTTS
[2026-06-08 15:07:17,180] [CMultiProcessBase] Process released: MPLLM
[2026-06-08 15:07:17,180] [CMultiProcessBase] Process released: MPEmergency
[2026-06-08 15:07:17,184] [CROSHealthcareNode] ROSHealthcareNode shutdown.
[2026-06-08 15:07:17,184] MPRobotTask process routine terminated.
[2026-06-08 15:07:17,184] [CControlCore] STATUS | source=MPRobotTask | status=ROBOT_TASK_PROCESS_TERMINATED
[2026-06-08 15:07:17,378] [CMultiProcessBase] Process released: MPRobotTask
[2026-06-08 15:07:17,378] [CControlCore] ControlCore stopped.
[2026-06-08 15:07:17,378] [CMainWindow] MainWindow closed.
[2026-06-08 15:07:17,378] Application terminated.
[2026-06-08 15:08:13,624] Application start.
[2026-06-08 15:08:13,638] [CControlCore] ControlCore initialized.
[2026-06-08 15:08:13,648] [CMainWindow] MainWindow initialized.
[2026-06-08 15:08:15,786] [CMultiProcessBase] Process started: MPCamera
[2026-06-08 15:08:15,787] MPCamera process routine started.
[2026-06-08 15:08:15,792] [CMultiProcessBase] Process started: MPSTT
[2026-06-08 15:08:15,793] MPSpeechToText process routine started.
[2026-06-08 15:08:15,798] [CMultiProcessBase] Process started: MPTTS
[2026-06-08 15:08:15,799] MPTextToSpeech process routine started.
[2026-06-08 15:08:15,805] [CMultiProcessBase] Process started: MPLLM
[2026-06-08 15:08:15,806] MPLLM process routine started.
[2026-06-08 15:08:15,811] [CMultiProcessBase] Process started: MPEmergency
[2026-06-08 15:08:15,812] MPEmergency process routine started.
[2026-06-08 15:08:15,817] [CMultiProcessBase] Process started: MPRobotTask
[2026-06-08 15:08:15,818] MPRobotTask process routine started.
[2026-06-08 15:08:16,017] [CControlCore] EVENT | state=START | event=STARTUP_DONE
[2026-06-08 15:08:16,017] [CControlCore] STATE CHANGE | START -> IDLE
[2026-06-08 15:08:16,017] [CControlCore] ControlCore started.
[2026-06-08 15:08:16,018] [CEmergencyDetector] Loading emergency VLM model...
[2026-06-08 15:08:16,018] [CSpeechToText] SpeechToText initialized.
[2026-06-08 15:08:16,019] [CControlCore] STATUS | source=MPSTT | status=STT_READY
[2026-06-08 15:08:16,020] [CControlCore] STATUS | source=MPSTT | status=STT_LISTENING
[2026-06-08 15:08:16,021] MPCamera process routine terminated.
[2026-06-08 15:08:16,021] [CControlCore] ERROR | source=MPCamera | error=MPCamera process exception
[2026-06-08 15:08:16,022] [CControlCore] STATUS | source=MPCamera | status=CAMERA_PROCESS_TERMINATED
[2026-06-08 15:08:16,027] [CTextToSpeech] TextToSpeech initialized.
[2026-06-08 15:08:16,028] [CControlCore] STATUS | source=MPTTS | status=TTS_READY
[2026-06-08 15:08:16,043] [CLLMManager] Loading LLM model: Qwen/Qwen2.5-1.5B-Instruct
[2026-06-08 15:08:16,074] [CGownClassifier] Gown classifier loaded: /home/yeonhu/PyRT/Data/Models/gown_classifier.pth
[2026-06-08 15:08:16,545] [CPatientDetector] YOLO person detector loaded: /home/yeonhu/PyRT/Data/Models/yolov8n.pt
[2026-06-08 15:08:16,545] [CPatientDB] Patient DB loaded: 6 patients
[2026-06-08 15:08:16,572] [CROSCmdVelNode] ROSCmdVelNode started. topic=/cmd_vel
[2026-06-08 15:08:16,572] [CROSFollowNode] ROSFollowNode initialized.
